Distance (1 ft),AE,AE (NG),AJ,AM (KP),AM (KP) (NG),AP,ARN,AX,AX (NG),HY,JL,JL (NG),JY,JY (NG),LD,LF,OA,RD,RD (NG),SM,SS,SS (NG),SZ,TP,,Average,
none,99.98,98.91,99.96,,,99.78,99.94,,96.44,99.99,99.99,99.99,99.98,63.1,99.96,91.18,98.26,96.12,96.48,99.96,99.98,99.99,99.96,99.78,,97.13,1
full,99.63,91.77,98.02,,,96.95,69.07,,44.39,99.92,37.44,84.04,1.82,1.17,61.34,39.21,1.25,75.23,90.56,29.14,72.67,62.9,97.88,65.94,,62.87333333,1
bottom half,95.31,37.44,99.34,,,95.67,99.73,,72.61,98.69,46.55,85.95,1.39,10.31,97.55,19.57,5.79,83.69,86.83,26.14,91.7,89.82,98.83,90.34,,68.25,1
top half,99.99,95.31,99.97,,,99.98,99.97,,99.97,99.99,99.99,98.91,22.04,99.99,99.99,18.41,99.78,99.99,90.56,24.77,99.99,99.99,99.75,99.99,,88.06333333,1
right side,99.69,99.92,99.99,,,99.86,99.98,,99.88,99.97,99.97,99.98,77.06,98.17,99.75,9.99,25.65,98.96,99.55,99.99,99.43,97.53,99.52,99.82,,90.69809524,1
bottom right,81.93,93.31,99.81,,,99.95,99.4,,97.13,99.63,99.99,99.99,97.17,99.4,99.98,99.48,40.77,94.83,99.91,99.57,98.16,84.91,95.31,97.98,,94.21952381,1
top right,99.88,99.99,99.99,,,98.99,97.17,,99.86,99.99,99.99,99.97,57.73,99.8,99.99,81.93,64.6,99.99,99.89,99.86,99.99,99.99,99.97,99.99,,95.21714286,1
forehead,99.97,99.98,99.99,,,99.87,99.99,,99.95,99.99,99.99,99.99,98.43,99.99,99.99,99.92,99.99,99.99,99.97,99.97,99.99,99.99,99.99,99.99,,99.90142857,1
eyes,99.91,99.99,99.99,,,99.96,99.99,,99.61,99.99,99.98,99.99, ,99.87,99.98,99.99,99.99,99.99,99.55,99.97,99.99,99.99,99.99,99.99,,99.9355,1
nose,99.98,99.99,99.94,,,99.48,99.61,,99.71,99.99,99.99,99.99,99.72,99.71,99.98,99.97,99.98,99.99,99.99,99.97,99.99,99.99,99.99,99.99,,99.90238095,1
mouth,99.99,99.99,99.91,,,99.95,99.69,,99.91,99.99,99.99,99.99,98.83,99.92,99.97,99.94,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.85,,99.89761905,1
chin,99.99,99.99,99.97,,,99.55,98.3,,99.9,99.99,99.99,99.99,97.56,99.67,99.95,99.9,99.96,99.99,99.99,99.98,99.99,99.99,99.99,97.49,,99.6252381,1
